chembl	schembl_id	name
CHEMBL3741565	SCHEMBL17260685	CHEMBL3741565
CHEMBL3741153	SCHEMBL17260701	CHEMBL3741153
CHEMBL3741563	SCHEMBL19026497	CHEMBL3741563
CHEMBL3741712	SCHEMBL19026443	CHEMBL3741712
CHEMBL3770896	SCHEMBL17556802	CHEMBL3770896
CHEMBL2333042	SCHEMBL15537511	CHEMBL2333042
CHEMBL2333040	SCHEMBL15539412	CHEMBL2333040
CHEMBL3957935	SCHEMBL15538371	CHEMBL3957935
CHEMBL3900210	SCHEMBL15537516	CHEMBL3900210
CHEMBL4071239	SCHEMBL12593863	CHEMBL4071239
CHEMBL4092051	SCHEMBL426726	SCHEMBL426726
CHEMBL460499	SCHEMBL8037	carmofur
CHEMBL314772	SCHEMBL4378188	Deoxyfuconojirimycin
CHEMBL326611	SCHEMBL4323472	4-{2-[(3-NITROBENZOYL)AMINO]PHENOXY}PHTHALIC ACID
CHEMBL428690	SCHEMBL3652	Flavopiridol
CHEMBL99889	SCHEMBL7234251	CP-320626
CHEMBL337012	SCHEMBL4801096	CHEMBL337012
CHEMBL139461	SCHEMBL4803861	CHEMBL139461
CHEMBL136327	SCHEMBL4801410	CHEMBL136327
CHEMBL139472	SCHEMBL4803919	CHEMBL139472
CHEMBL134854	SCHEMBL4796608	CHEMBL134854
CHEMBL136182	SCHEMBL4798292	CHEMBL136182
CHEMBL425918	SCHEMBL6371759	CHEMBL425918
CHEMBL371986	SCHEMBL6372041	CHEMBL371986
CHEMBL194177	SCHEMBL5545532	CHEMBL194177
CHEMBL196001	SCHEMBL5547081	CHEMBL196001
CHEMBL194245	SCHEMBL5549668	CHEMBL194245
CHEMBL194356	SCHEMBL5547056	CHEMBL194356
CHEMBL194807	SCHEMBL5550430	CHEMBL194807
CHEMBL193734	SCHEMBL5545757	CHEMBL193734
CHEMBL440386	SCHEMBL5547112	CHEMBL440386
CHEMBL372862	SCHEMBL5550472	CHEMBL372862
CHEMBL196637	SCHEMBL5547051	CHEMBL196637
CHEMBL196687	SCHEMBL5550231	CHEMBL196687
CHEMBL382077	SCHEMBL14470664	CHEMBL382077
CHEMBL372696	SCHEMBL14470666	CHEMBL372696
CHEMBL372478	SCHEMBL14470665	CHEMBL372478
CHEMBL373082	SCHEMBL14470653	CHEMBL373082
CHEMBL370173	SCHEMBL14470642	CHEMBL370173
CHEMBL3322297	SCHEMBL4950740	CHEMBL3322297
CHEMBL333866	SCHEMBL6432849	CHEMBL333866
CHEMBL118615	SCHEMBL6431952	CHEMBL118615
CHEMBL119761	SCHEMBL6432830	CHEMBL119761
CHEMBL324770	SCHEMBL7125361	CHEMBL324770
CHEMBL119755	SCHEMBL6431819	CHEMBL119755
CHEMBL118326	SCHEMBL6431264	CHEMBL118326
CHEMBL331752	SCHEMBL6431786	CHEMBL331752
CHEMBL331057	SCHEMBL4308346	4-{2,4-BIS[(3-NITROBENZOYL)AMINO]PHENOXY}PHTHALIC ACID
CHEMBL335954	SCHEMBL4321357	[5-CHLORO-1H-INDOL-2-CARBONYL-PHENYLALANINYL]-AZETIDINE-3-CARBOXYLIC ACID
CHEMBL100872	SCHEMBL6161267	CHEMBL100872
CHEMBL317861	SCHEMBL6634027	CHEMBL317861
CHEMBL319136	SCHEMBL5961406	CP-91149
CHEMBL179563	SCHEMBL5001114	CHEMBL179563
CHEMBL181326	SCHEMBL5891557	CHEMBL181326
CHEMBL382298	SCHEMBL2904472	CHEMBL382298
CHEMBL198229	SCHEMBL5439310	CHEMBL198229
CHEMBL382726	SCHEMBL5433762	CHEMBL382726
CHEMBL381870	SCHEMBL3834039	CHEMBL381870
CHEMBL198392	SCHEMBL4572708	Glycogen Phosphorylase Inhibitor
CHEMBL381443	SCHEMBL5429157	CHEMBL381443
CHEMBL213661	SCHEMBL8182017	(3R,4R,5R)-5-(hydroxymethyl)-1-(3-phenylpropyl)piperidine-3,4-diol
CHEMBL215137	SCHEMBL6249396	100991-92-2
CHEMBL206468	SCHEMBL581577	Afegostat
CHEMBL219059	SCHEMBL6630777	CHEMBL219059
CHEMBL218462	SCHEMBL6629358	CHEMBL218462
CHEMBL218492	SCHEMBL6633345	CHEMBL218492
