name	harmonized_name
AROG PHARMACEUTICALS INC	Arog Pharmaceuticals
ARONORA INC	Aronora
ARRIEN PHARMACEUTICALS LLC	Arrien Pharmaceuticals
ARVINAS INC	Arvinas
ARVINAS OPERATIONS INC	Arvinas
ARXY THERAPEUTICS	ARYx Therapeutics
ARYX THERAPEUTICS	ARYx Therapeutics
ARYX THERAPEUTICS INC	ARYx Therapeutics
ARYX THERAPEUTICS, INC.	ARYx Therapeutics
ASAHI KASEI PHARMA CORP	Asahi Kasei
ASANA BIOSCIENCES LLC	Asana BioSciences
ASCENDIS PHARMA AS	Ascendis Pharma
ASKA PHARM CO LTD	ASKA Pharmaceutical Co. Ltd.
ASLAN PHARMACEUTICALS PTE LTD	ASLAN Pharma
ASSEMBLY BIOSCIENCES INC	Assembly Bio
ASTAR BIOTECH LLC	Astar Biotech
ASTELLAS PHARMA INC	Astellas Pharma
ASTELLAS PHARMA INC.	Astellas Pharma
ASTEX TECHNOLOGY LTD	Astex Pharmaceuticals
ASTEX THERAPEUTICS LTD	Astex Pharmaceuticals
ASTRA AB	AstraZeneca
ASTRA PHARMA PROD	Astra Pharmaceuticals Ltd
ASTRAZENACA AB	AstraZeneca
ASTRAZENECA AB	AstraZeneca
ASTRAZENECA AB A SWEDEN CORP	AstraZeneca
ASTRAZENECA AB PUBL	AstraZeneca
ASTRAZENECA AND NPS PHARMACEUT	AstraZeneca
ASTRAZENECA UK LTD	AstraZeneca
ATHEROGENICS INC	AtheroGenics
ATHEROGENICS PHARMACEUTICALS I	AtheroGenics
ATHERSYS INC	Athersys
ATHYRIUM OPPORTUNITIES III CO-INVEST 1 LP	Athyrium Opportunites III
ATILIM UNIV	Atilim University
ATOFINA	Arkema
AUCKLAND UNISERVICES LTD	Auckland UniServices Limited
AURIN BIOTECH INC	Aurin Biotech Inc.
AVANIR PHARMACEUTICALS	Avanir Pharmaceuticals
AVANIR PHARMACEUTICALS, INC.	Avanir Pharmaceuticals
AVELAS BIOSCIENCES INC	Avelas Biosciences
AVELAS BIOSCIENCES NC	Avelas Biosciences
AVENTIS PHARMA GMBH	Sanofi
AVENTIS PHARMA INC	Sanofi
AVENTIS PHARMA SA	Sanofi
AVEO PHARMACEUTICALS INC	AVEO Oncology
AVEXXIN AS	Coegin Pharma
AXIM BIOTECHNOLOGIES INC	AXIM Biotechnologies
AXON BIOCHEMICALS BV	Axon Biochemicals
AYALA PHARMACEUTICALS INC	Ayala
AZDT HOLDINGS LLC	AZDT HOLDINGS
Acturum Life Science AB	Acturum
Amplia Therapeutics Ltd	Amplia Therapeutics
B S R C ALEXANDER FLEMING	Alexander Fleming Biomedical Sciences Research Center
BALL STATE UNIVERSITY	Ball State University
BALTIC BIO AB	Betagenon
BANYU PHARMA CO LTD	MSD
BAR PHARMACEUTICALS S R L	Barr Pharmaceuticals
BARD INC C R	Bard
BARUCH S BLUMBERG INST	Baruch S. Blumberg Institute
BARUCH S BLUMBERG INSTITUTE	Baruch S. Blumberg Institute
BASF AG	BASF
BASF AKTIENGESELLSCHAFT	BASF
BASF BEAUTY CARE SOLUTIONS FRANCE SAS	BASF
BASF SE	BASF
BATTELLE MEMORIAL INSTITUTE	Battelle
BAUSCH HEALTH IRELAND LTD	Bausch Health
BAXTER HEALTHCARE SA	Baxter
BAYER AG	Bayer
BAYER CROPSCIENCE AG	Bayer
BAYER HEALTHCARE AG	Bayer
BAYER HEALTHCARE LLC	Bayer
BAYER INTELLECTUAL PROPERTY GMBH	Bayer
BAYER IP GMBH	Bayer
BAYER PHARMACEUTICALS CORP	Bayer
BAYER PHARMACEUTICALS CORPORATION	Bayer
BAYER SCHERING PHARMA AG	Bayer
BAYER SCHERING PHARMA AKTIENGESELLSCHAFT	Bayer
